id,20_60T9_18,weekend,total_tourists
2430.0,1190.3456108,3031.8359615,4222.1815723
2431.0,773.80633582,1772.0357692,2545.84210502
2429.0,771.6067939,1985.1539423,2756.7607362
2370.0,674.6125954,2043.3371154,2717.9497108
2496.0,987.1110688,2573.9477884,3561.0588571999997
2497.0,844.1690076,2422.7617307,3266.9307383
2494.0,1129.3901909,2518.5750963,3647.9652872
2495.0,1077.9914886,2432.9910577,3510.9825462999997
2432.0,1052.8253817,2394.793173,3447.6185547
2433.0,722.1397328,1966.1338462,2688.273579
