id,20_60T9_18,weekend,total_tourists
3442.0,1859.2125953,3700.3375964,5559.5501917
3440.0,2614.3476718,2767.835577,5382.1832488
3441.0,2466.7480157,6067.7590391,8534.5070548
3430.0,561.55377865,1314.855577,1876.4093556500002
3431.0,1225.5758397,2602.61375,3828.1895897
3429.0,46.43950381,122.08875,168.52825381
3438.0,1486.4718702,2238.373173,3724.8450432
3439.0,2823.5851909,3021.3125966,5844.8977875
3436.0,1379.9491221,3017.8543269,4397.803449
3434.0,1373.1927481,2932.4158654,4305.6086135
3435.0,1279.8129771,2866.36375,4146.1767271
3432.0,899.7154198,2045.3987501,2945.1141699
3433.0,1131.9141603,2584.2086538,3716.1228141
3382.0,1312.8951145,2548.779712,3861.6748265
3380.0,1219.5188168,1472.0242307,2691.5430475000003
3381.0,2619.0782062,5112.9569227,7732.0351289
3378.0,982.5487404,1017.9403847,2000.4891251
3379.0,1180.5902671,1247.4250962,2428.0153633
3376.0,1786.447977,1684.6553845,3471.1033615
3377.0,2036.07458,1917.0591346,3953.1337146
3366.0,69.64244275,196.07124996,265.71369271
3367.0,262.21980915,723.68317312,985.9029822699999
3370.0,694.3609541,1594.6429807,2289.0039348
3368.0,1012.21404581,2569.4566351,3581.6706809099996
3369.0,1040.2988167,2571.7275961,3612.0264128
3558.0,867.4141222,2064.7603846,2932.1745068
3559.0,868.8862214,2621.5046154,3490.3908368
3557.0,1189.0718321,2453.3452884,3642.4171205
3564.0,2261.4177862,2708.5173082,4969.9350944
3562.0,1500.8214885,3979.3887497,5480.2102382
3563.0,1273.8326336,1840.4025961,3114.2352296999998
3560.0,793.236374,2399.3851923,3192.6215663000003
3561.0,1322.6835877,3364.3589424,4687.0425301000005
3494.0,1030.6816412,2216.0488461,3246.7304873000003
3495.0,815.571603,1823.3986539,2638.9702569
3502.0,3972.9735493,5392.321058,9365.2946073
3500.0,1445.406832,2253.5392307,3698.9460627
3501.0,1881.5356107,2489.3721155,4370.9077262
3498.0,2135.9941222,5678.775481,7814.7696032
3499.0,1902.5587786,4866.4448088,6769.0035874000005
3496.0,899.227061,1996.8483654,2896.0754263999997
3497.0,1568.3511831,3794.6958656,5363.0470487
3318.0,2340.4034733,2398.9524039,4739.3558772
3319.0,2290.5771755,2693.303173,4983.8803485
3316.0,3466.6011451,3108.4971154,6575.0982605
3317.0,3569.4875951,3195.5978846,6765.085479699999
3314.0,3111.3116033,4165.771346,7277.0829493
3315.0,2659.5643129,2494.8506732,5154.4149861000005
3320.0,976.1893511,864.7205769,1840.909928
3303.0,393.75026717,1068.3477885,1462.09805567
3304.0,957.735458,2631.8616346,3589.5970926
3305.0,1086.0961833,3152.4600958,4238.5562791
3257.0,1909.5585501,1665.1150959,3574.673646
3239.0,52.05435115,123.8219231,175.87627425
3240.0,1087.3176718,2874.9135577,3962.2312295
3880.0,156.94164122,298.5701923,455.51183352
3690.0,1698.8201527,3007.6300957,4706.4502484
