id,20_60T9_18,weekend,total_tourists
3442.0,1859.2125953,3700.3375964,5559.5501917
3440.0,2614.3476718,2767.835577,5382.1832488
3441.0,2466.7480157,6067.7590391,8534.5070548
3380.0,1219.5188168,1472.0242307,2691.5430475000003
3381.0,2619.0782062,5112.9569227,7732.0351289
3378.0,982.5487404,1017.9403847,2000.4891251
3379.0,1180.5902671,1247.4250962,2428.0153633
3376.0,1786.447977,1684.6553845,3471.1033615
3377.0,2036.07458,1917.0591346,3953.1337146
3318.0,2340.4034733,2398.9524039,4739.3558772
3316.0,3466.6011451,3108.4971154,6575.0982605
3317.0,3569.4875951,3195.5978846,6765.085479699999
3314.0,3111.3116033,4165.771346,7277.0829493
3315.0,2659.5643129,2494.8506732,5154.4149861000005
