일자,긍정어,부정어,중립
2018-07-01,423,53,146
2018-08-01,358,53,189
2018-09-01,406,57,96
2018-10-01,469,58,146
2018-11-01,531,60,173
2018-12-01,393,30,93
2019-01-01,330,22,84
2019-02-01,865,37,82
2019-03-01,367,45,142
2019-04-01,609,68,259
2019-05-01,526,72,132
2019-06-01,468,41,165
2019-07-01,535,567,402
2019-08-01,256,87,107
2019-09-01,345,49,129
2019-10-01,639,212,300
2019-11-01,421,594,239
2019-12-01,423,90,141
2020-01-01,292,82,105
2020-02-01,950,298,214
2020-03-01,875,67,115
2020-04-01,371,54,89
2020-05-01,431,55,98
2020-06-01,555,81,193
2020-07-01,510,68,194
2020-08-01,340,64,145
2020-09-01,348,46,170
2020-10-01,581,52,146
2020-11-01,334,50,101
2020-12-01,112,38,35
2021-01-01,79,36,40
2021-02-01,79,7,25
2021-03-01,253,47,78
2021-04-01,257,39,89
2021-05-01,492,55,153
2021-06-01,206,84,58
