일자,긍정어,부정어,중립
2018-07-01,0,0,0
2018-08-01,0,0,0
2018-09-01,2,1,0
2018-10-01,5,0,0
2018-11-01,3,1,0
2018-12-01,2,0,2
2019-01-01,0,0,0
2019-02-01,5,0,0
2019-03-01,2,0,2
2019-04-01,2,0,0
2019-05-01,1,0,0
2019-06-01,0,0,0
2019-07-01,3,0,1
2019-08-01,1,0,0
2019-09-01,0,0,0
2019-10-01,3,0,0
2019-11-01,0,0,0
2019-12-01,0,0,0
2020-01-01,0,0,0
2020-02-01,0,0,0
2020-03-01,0,0,0
2020-04-01,1,0,0
2020-05-01,3,0,0
2020-06-01,12,1,0
2020-07-01,4,0,0
2020-08-01,1,0,2
2020-09-01,1,0,0
2020-10-01,3,0,0
2020-11-01,2,0,0
2020-12-01,0,0,0
2021-01-01,0,0,0
2021-02-01,0,0,0
2021-03-01,0,0,0
2021-04-01,0,0,0
2021-05-01,0,0,0
2021-06-01,0,0,0
