일자,긍정어,부정어,중립
2018-07-01,1210,233,425
2018-08-01,1483,249,500
2018-09-01,1538,211,909
2018-10-01,2564,174,561
2018-11-01,3417,175,455
2018-12-01,1298,152,364
2019-01-01,1287,286,354
2019-02-01,1289,152,453
2019-03-01,1379,194,440
2019-04-01,1535,443,600
2019-05-01,3137,218,795
2019-06-01,1223,150,327
2019-07-01,900,176,344
2019-08-01,1408,1740,432
2019-09-01,868,163,386
2019-10-01,3512,139,403
2019-11-01,1157,622,572
2019-12-01,940,160,268
2020-01-01,1060,165,330
2020-02-01,897,123,313
2020-03-01,937,218,324
2020-04-01,1146,205,354
2020-05-01,2434,237,1711
2020-06-01,1081,214,417
2020-07-01,2008,171,464
2020-08-01,904,158,372
2020-09-01,1106,499,884
2020-10-01,1202,149,480
2020-11-01,901,140,416
2020-12-01,531,191,344
2021-01-01,604,187,267
2021-02-01,760,193,438
2021-03-01,951,174,487
2021-04-01,950,89,304
2021-05-01,1252,153,394
2021-06-01,1155,165,330
