일자,긍정어,부정어,중립
2018-07-01,4351,603,837
2018-08-01,3813,443,773
2018-09-01,4350,351,653
2018-10-01,4717,349,840
2018-11-01,4758,438,834
2018-12-01,4318,278,699
2019-01-01,5395,375,920
2019-02-01,5202,623,1230
2019-03-01,6153,578,985
2019-04-01,8909,908,1583
2019-05-01,5983,786,1422
2019-06-01,5461,774,1342
2019-07-01,4140,466,768
2019-08-01,3682,402,684
2019-09-01,3035,381,689
2019-10-01,3180,246,501
2019-11-01,3335,429,912
2019-12-01,3635,369,920
2020-01-01,3586,246,680
2020-02-01,3427,261,661
2020-03-01,4519,516,932
2020-04-01,4226,283,761
2020-05-01,4043,265,717
2020-06-01,3958,290,576
2020-07-01,4625,316,762
2020-08-01,4269,325,751
2020-09-01,3333,262,556
2020-10-01,4011,406,754
2020-11-01,2625,238,536
2020-12-01,670,184,253
2021-01-01,992,161,343
2021-02-01,1674,204,465
2021-03-01,2047,200,560
2021-04-01,1662,205,551
2021-05-01,1612,202,430
2021-06-01,1394,204,406
