일자,긍정어,부정어,중립
2018-07-01,64,13,14
2018-08-01,123,14,32
2018-09-01,72,5,16
2018-10-01,77,12,32
2018-11-01,85,13,6
2018-12-01,181,19,27
2019-01-01,85,9,19
2019-02-01,100,15,34
2019-03-01,117,13,31
2019-04-01,223,22,64
2019-05-01,85,5,21
2019-06-01,110,11,23
2019-07-01,74,5,14
2019-08-01,126,8,26
2019-09-01,77,3,13
2019-10-01,161,16,43
2019-11-01,151,11,45
2019-12-01,59,8,9
2020-01-01,56,7,17
2020-02-01,104,3,18
2020-03-01,56,10,10
2020-04-01,109,8,15
2020-05-01,99,8,17
2020-06-01,94,11,22
2020-07-01,197,31,71
2020-08-01,83,13,13
2020-09-01,83,6,19
2020-10-01,96,4,8
2020-11-01,113,14,29
2020-12-01,32,3,6
2021-01-01,42,2,14
2021-02-01,12,5,6
2021-03-01,13,4,3
2021-04-01,53,2,15
2021-05-01,50,7,14
2021-06-01,97,8,27
