일자,긍정어,부정어,중립
2020-10-27,152,26,52
2020-11-01,304,43,82
2020-11-08,157,38,46
2020-11-15,115,13,41
2020-11-22,47,15,38
2020-11-29,73,15,50
2020-12-06,205,261,135
2020-12-13,66,11,27
2020-12-20,85,8,27
2020-12-27,74,11,30
2021-01-03,86,23,26
2021-01-10,93,16,26
2021-01-17,74,15,33
2021-01-24,135,26,26
2021-01-31,55,12,30
2021-02-07,29,13,27
2021-02-14,70,15,45
2021-02-21,155,14,49
2021-02-28,197,29,49
2021-03-07,202,22,64
2021-03-14,115,13,33
2021-03-21,85,20,25
2021-03-28,88,26,45
2021-04-04,150,29,59
2021-04-11,94,26,36
2021-04-18,136,34,45
2021-04-25,141,29,57
2021-05-02,138,28,36
2021-05-09,139,21,72
2021-05-16,213,34,64
2021-05-23,205,30,83
2021-05-30,152,28,39
2021-06-06,139,52,49
2021-06-13,166,104,43
2021-06-20,307,40,49
2021-06-27,388,23,73
2021-07-04,80,22,24
2021-07-11,101,56,80
2021-07-18,103,29,55
2021-07-25,83,23,38
2021-08-01,100,49,56
2021-08-08,139,34,49
2021-08-15,374,58,59
2021-08-22,353,824,108
2021-08-29,303,135,124
2021-09-05,414,82,129
2021-09-12,353,65,79
2021-09-19,310,52,55
2021-09-26,122,34,64
2021-10-03,84,24,36
2021-10-10,148,20,32
2021-10-17,109,11,32
2021-10-24,65,24,34
