일자,긍정어,부정어,중립
2018-07-01,2562,281,1055
2018-08-01,2980,279,601
2018-09-01,4225,570,910
2018-10-01,21725,7244,4199
2018-11-01,7644,1171,1695
2018-12-01,2041,625,526
2019-01-01,2059,503,511
2019-02-01,885,354,276
2019-03-01,1264,271,324
2019-04-01,1664,292,542
2019-05-01,1984,248,566
2019-06-01,1776,428,430
2019-07-01,1158,235,363
2019-08-01,1331,251,337
2019-09-01,2438,526,574
2019-10-01,16882,3094,4243
2019-11-01,4784,1032,1213
2019-12-01,1384,264,410
2020-01-01,1321,277,655
2020-02-01,1056,168,630
2020-03-01,1434,317,632
2020-04-01,1418,300,568
2020-05-01,1670,306,443
2020-06-01,1125,255,387
2020-07-01,1889,259,526
2020-08-01,1131,213,395
2020-09-01,3002,619,1128
2020-10-01,2392,494,788
2020-11-01,1541,318,594
2020-12-01,669,186,317
2021-01-01,706,119,199
2021-02-01,752,180,248
2021-03-01,923,164,488
2021-04-01,879,174,260
2021-05-01,1142,258,297
2021-06-01,926,899,242
