일자,긍정어,부정어,중립
2018-07-01,2956,648,295
2018-08-01,2247,111,200
2018-09-01,3602,635,436
2018-10-01,2827,394,623
2018-11-01,2004,356,583
2018-12-01,1457,223,173
2019-01-01,1444,143,127
2019-02-01,6886,215,220
2019-03-01,1945,175,160
2019-04-01,1773,90,103
2019-05-01,1280,129,173
2019-06-01,3355,272,356
2019-07-01,1922,194,137
2019-08-01,1481,104,151
2019-09-01,1407,79,160
2019-10-01,1617,100,172
2019-11-01,1875,182,115
2019-12-01,1961,263,83
2020-01-01,3259,223,216
2020-02-01,1790,149,56
2020-03-01,1179,53,98
2020-04-01,964,35,59
2020-05-01,997,29,23
2020-06-01,493,39,61
2020-07-01,555,26,62
2020-08-01,697,61,99
2020-09-01,480,49,176
2020-10-01,874,38,86
2020-11-01,380,24,45
2020-12-01,94,17,14
2021-01-01,149,60,9
2021-02-01,67,9,14
2021-03-01,65,62,35
2021-04-01,29,1,9
2021-05-01,139,30,23
2021-06-01,26,9,9
