일자,긍정어,부정어,중립
2018-07-01,364,42,114
2018-08-01,328,43,108
2018-09-01,263,37,66
2018-10-01,221,42,86
2018-11-01,230,54,97
2018-12-01,328,38,81
2019-01-01,230,35,99
2019-02-01,147,10,70
2019-03-01,140,9,54
2019-04-01,143,17,43
2019-05-01,162,22,81
2019-06-01,2842,3362,66
2019-07-01,301,13,238
2019-08-01,234,18,69
2019-09-01,205,21,108
2019-10-01,266,67,96
2019-11-01,127,19,55
2019-12-01,242,15,89
2020-01-01,333,19,58
2020-02-01,114,27,28
2020-03-01,88,11,33
2020-04-01,55,8,33
2020-05-01,88,11,20
2020-06-01,80,9,57
2020-07-01,139,18,288
2020-08-01,132,16,62
2020-09-01,128,52,33
2020-10-01,59,18,45
2020-11-01,96,8,39
2020-12-01,36,3,16
2021-01-01,16,2,12
2021-02-01,49,17,36
2021-03-01,1195,36,66
2021-04-01,843,18,52
2021-05-01,52,1,382
2021-06-01,57,3,11
