일자,긍정어,부정어,중립
2018-07-01,642,99,122
2018-08-01,419,58,103
2018-09-01,359,147,95
2018-10-01,629,397,212
2018-11-01,606,209,133
2018-12-01,381,358,96
2019-01-01,237,53,60
2019-02-01,1174,331,80
2019-03-01,1086,123,140
2019-04-01,890,400,267
2019-05-01,2197,463,349
2019-06-01,621,126,159
2019-07-01,400,27,73
2019-08-01,295,87,85
2019-09-01,205,24,54
2019-10-01,215,27,51
2019-11-01,220,28,57
2019-12-01,224,30,52
2020-01-01,248,59,67
2020-02-01,306,18,31
2020-03-01,255,50,68
2020-04-01,245,33,30
2020-05-01,264,41,49
2020-06-01,313,33,45
2020-07-01,307,51,58
2020-08-01,276,39,44
2020-09-01,264,309,595
2020-10-01,358,30,45
2020-11-01,168,19,26
2020-12-01,69,10,16
2021-01-01,47,10,13
2021-02-01,91,28,19
2021-03-01,81,42,26
2021-04-01,73,21,10
2021-05-01,82,17,947
2021-06-01,52,11,15
